,Country_Code,Country_Name,year,tem_change
14465,,Europe,2011,1.548
14491,ATA,Antarctica,2012,-0.216
14496,AUS,Australia,2012,0.273
14732,X06,Africa,2012,0.781
14739,,Northern America,2012,1.786
14742,,South America,2012,0.943
14743,,Asia,2012,0.693
14749,,Europe,2012,1.789
14775,ATA,Antarctica,2013,1.738
14780,AUS,Australia,2013,1.45
15016,X06,Africa,2013,1.014
15023,,Northern America,2013,0.902
15026,,South America,2013,0.834
15027,,Asia,2013,1.054
15033,,Europe,2013,1.118
15059,ATA,Antarctica,2014,0.546
15064,AUS,Australia,2014,1.139
15300,X06,Africa,2014,1.036
15307,,Northern America,2014,0.389
15310,,South America,2014,1.105
15311,,Asia,2014,0.909
15317,,Europe,2014,1.807
15343,ATA,Antarctica,2015,-0.095
15348,AUS,Australia,2015,1.051
15584,X06,Africa,2015,1.208
15591,,Northern America,2015,1.33
15594,,South America,2015,1.435
15595,,Asia,2015,1.284
15601,,Europe,2015,2.106
15627,ATA,Antarctica,2016,0.217
15632,AUS,Australia,2016,1.142
15868,X06,Africa,2016,1.442
15875,,Northern America,2016,2.273
15878,,South America,2016,1.242
15879,,Asia,2016,1.457
15885,,Europe,2016,2.286
15911,ATA,Antarctica,2017,0.764
15916,AUS,Australia,2017,1.117
16152,X06,Africa,2017,1.224
16159,,Northern America,2017,1.426
16162,,South America,2017,1.232
16163,,Asia,2017,1.464
16169,,Europe,2017,1.959
16195,ATA,Antarctica,2018,1.454
16200,AUS,Australia,2018,1.112
16436,X06,Africa,2018,1.222
16443,,Northern America,2018,0.873
16446,,South America,2018,1.034
16447,,Asia,2018,1.343
16453,,Europe,2018,2.009
16479,ATA,Antarctica,2019,0.615
16484,AUS,Australia,2019,1.423
16720,X06,Africa,2019,1.415
16727,,Northern America,2019,1.179
16730,,South America,2019,1.31
16731,,Asia,2019,1.369
16737,,Europe,2019,2.116
